Category
Trainer
Helicopter - Utility
Utility
Tactical Airlift
Business Jet
Helicopter - Transport
Fighter / Interceptor
Strategic Airlift
Tanker
Passenger - Narrowbody
Helicopter - Maritime
Special Mission
Attack / Strike
Passenger - Widebody
Maritime Patrol
Regional Passenger
ISR / Surveillance
Helicopter - Attack
AEW&C
UAV - Recon
